review_id,review_text,sentiment_label,sentiment_score,identified_theme
1,It's not allowing me to transfer money.,NEGATIVE,0.9969,Transaction Performance
2,IT'S NOT WORK ON HUAWEI DEVICES,NEGATIVE,0.9997,General Feedback
3,wow,POSITIVE,0.9996,General Feedback
4,nice app,POSITIVE,0.9998,General Feedback
5,formative,POSITIVE,0.9989,General Feedback
6,best app for financial activities 🙌,POSITIVE,0.9968,General Feedback
7,yoroo namaste 🙏 ♥️ ❤️ 💖 💖,NEGATIVE,0.8905,General Feedback
8,incredible,POSITIVE,0.9999,General Feedback
9,best app for financial sector,POSITIVE,0.9992,General Feedback
10,it's a good application,POSITIVE,0.9999,General Feedback
11,thank you cbe,POSITIVE,0.9998,General Feedback
12,is good,POSITIVE,0.9998,General Feedback
13,wow,POSITIVE,0.9996,General Feedback
14,Good application,POSITIVE,0.9999,General Feedback
15,"Nice, but I can't get some recently transactions. please try to keep all history scrolling full visibility done.",NEGATIVE,0.9879,General Feedback
16,Very Secure but very poor interface and limited history service. The new colorful version is worst. Visibility and contrast are low. It is just my idea.,NEGATIVE,0.9998,General Feedback
17,very nice 100%,POSITIVE,0.9999,General Feedback
18,good,POSITIVE,0.9998,General Feedback
19,Good to use,POSITIVE,0.9998,General Feedback
20,cbe,POSITIVE,0.9966,General Feedback
21,Cbe,POSITIVE,0.9966,General Feedback
22,best and secured,POSITIVE,0.9998,General Feedback
23,best,POSITIVE,0.9998,General Feedback
24,ok,POSITIVE,0.9998,General Feedback
25,good,POSITIVE,0.9998,General Feedback
26,why is my transaction fee hidden? Why doesn't the app show some of the transaction fees before. eg vat 15% show it togather before confirmation not after it feels like a scam.,NEGATIVE,0.9989,General Feedback
27,Gal✅😶‍🌫️,NEGATIVE,0.6971,General Feedback
28,posetive,POSITIVE,0.9819,General Feedback
29,እ. በ. ጥ. ነው,NEGATIVE,0.9486,General Feedback
30,good,POSITIVE,0.9998,General Feedback
31,It is usefull app,POSITIVE,0.9959,General Feedback
32,this app is so functional for airtime for wallet and,NEGATIVE,0.9154,General Feedback
33,very amazing app,POSITIVE,0.9999,General Feedback
34,excellent service,POSITIVE,0.9999,General Feedback
35,There is a a problem when updating the app,NEGATIVE,0.999,Feature Requests
36,good,POSITIVE,0.9998,General Feedback
37,good,POSITIVE,0.9998,General Feedback
38,smart app,POSITIVE,0.9998,General Feedback
39,best,POSITIVE,0.9998,General Feedback
40,"Internet Based mobile app for CBEBirr A Internet Based mobile app for CBEBirr. With the new Internet based CBEBirr Mobile App you can make every operations applicable via the USSD version of CBEBirr. This app version is the latest version branded as CBEBirr Plus, CBEBirr+, CBE Birr +, or CBE Birr plus.",NEGATIVE,0.9887,Transaction Performance
41,CBE it's my excellent choice,POSITIVE,0.9998,General Feedback
42,fast and time saving...,POSITIVE,0.9995,General Feedback
43,ok,POSITIVE,0.9998,General Feedback
44,ok,POSITIVE,0.9998,General Feedback
45,yesisgood,POSITIVE,0.9984,General Feedback
46,so good,POSITIVE,0.9998,General Feedback
47,"The app is getting worse and worse after every ""update"". The UI is inconsistent, you haven't fixed the issue with Mpesa wallet transfer ( the ""begin 0, end 1, length 0"" error after ever transfer attempt) ; now the tellbirr transfer raises ""Bucket override O-10094"" error. Test your work FULLY before release.",NEGATIVE,0.9996,Transaction Performance
48,iam happy excellent app,POSITIVE,0.9999,General Feedback
49,is not work properly !!,NEGATIVE,0.9998,General Feedback
50,አሪፍ አፕ ነው ገራሚ ሁኖ አግኝቼዋለሁ,NEGATIVE,0.9047,General Feedback
51,When I update this app there isn't working,NEGATIVE,0.9996,Feature Requests
52,thanks you so much 👍 okay I am going to be like in,POSITIVE,0.9998,General Feedback
53,Best ever,POSITIVE,0.9998,General Feedback
