review,rating,date,bank,source
It's not allowing me to transfer money.,2,2026-05-15,Commercial Bank of Ethiopia,Google Play
IT'S NOT WORK ON HUAWEI DEVICES,4,2026-05-15,Commercial Bank of Ethiopia,Google Play
wow,4,2026-05-14,Commercial Bank of Ethiopia,Google Play
nice app,5,2026-05-14,Commercial Bank of Ethiopia,Google Play
formative,5,2026-05-14,Commercial Bank of Ethiopia,Google Play
best app for financial activities 🙌,5,2026-05-14,Commercial Bank of Ethiopia,Google Play
yoroo namaste 🙏 ♥️ ❤️ 💖 💖,5,2026-05-14,Commercial Bank of Ethiopia,Google Play
incredible,5,2026-05-14,Commercial Bank of Ethiopia,Google Play
best app for financial sector,5,2026-05-14,Commercial Bank of Ethiopia,Google Play
it's a good application,5,2026-05-13,Commercial Bank of Ethiopia,Google Play
thank you cbe,5,2026-05-13,Commercial Bank of Ethiopia,Google Play
is good,5,2026-05-13,Commercial Bank of Ethiopia,Google Play
wow,5,2026-05-13,Commercial Bank of Ethiopia,Google Play
Good application,2,2026-05-13,Commercial Bank of Ethiopia,Google Play
"Nice, but I can't get some recently transactions. please try to keep all history scrolling full visibility done.",5,2026-05-13,Commercial Bank of Ethiopia,Google Play
Very Secure but very poor interface and limited history service. The new colorful version is worst. Visibility and contrast are low. It is just my idea.,1,2026-05-13,Commercial Bank of Ethiopia,Google Play
very nice 100%,5,2026-05-13,Commercial Bank of Ethiopia,Google Play
good,5,2026-05-12,Commercial Bank of Ethiopia,Google Play
Good to use,5,2026-05-12,Commercial Bank of Ethiopia,Google Play
cbe,1,2026-05-12,Commercial Bank of Ethiopia,Google Play
Cbe,4,2026-05-11,Commercial Bank of Ethiopia,Google Play
best and secured,5,2026-05-11,Commercial Bank of Ethiopia,Google Play
best,5,2026-05-11,Commercial Bank of Ethiopia,Google Play
ok,5,2026-05-11,Commercial Bank of Ethiopia,Google Play
good,5,2026-05-10,Commercial Bank of Ethiopia,Google Play
why is my transaction fee hidden? Why doesn't the app show some of the transaction fees before. eg vat 15% show it togather before confirmation not after it feels like a scam.,3,2026-05-10,Commercial Bank of Ethiopia,Google Play
Gal✅😶‍🌫️,1,2026-05-10,Commercial Bank of Ethiopia,Google Play
posetive,5,2026-05-10,Commercial Bank of Ethiopia,Google Play
እ. በ. ጥ. ነው,5,2026-05-10,Commercial Bank of Ethiopia,Google Play
good,5,2026-05-09,Commercial Bank of Ethiopia,Google Play
It is usefull app,5,2026-05-09,Commercial Bank of Ethiopia,Google Play
this app is so functional for airtime for wallet and,5,2026-05-09,Commercial Bank of Ethiopia,Google Play
very amazing app,5,2026-05-09,Commercial Bank of Ethiopia,Google Play
excellent service,5,2026-05-09,Commercial Bank of Ethiopia,Google Play
There is a a problem when updating the app,3,2026-05-09,Commercial Bank of Ethiopia,Google Play
good,5,2026-05-09,Commercial Bank of Ethiopia,Google Play
good,5,2026-05-09,Commercial Bank of Ethiopia,Google Play
smart app,4,2026-05-08,Commercial Bank of Ethiopia,Google Play
best,5,2026-05-08,Commercial Bank of Ethiopia,Google Play
"Internet Based mobile app for CBEBirr A Internet Based mobile app for CBEBirr. With the new Internet based CBEBirr Mobile App you can make every operations applicable via the USSD version of CBEBirr. This app version is the latest version branded as CBEBirr Plus, CBEBirr+, CBE Birr +, or CBE Birr plus.",1,2026-05-08,Commercial Bank of Ethiopia,Google Play
CBE it's my excellent choice,5,2026-05-08,Commercial Bank of Ethiopia,Google Play
fast and time saving...,5,2026-05-08,Commercial Bank of Ethiopia,Google Play
ok,5,2026-05-08,Commercial Bank of Ethiopia,Google Play
ok,5,2026-05-07,Commercial Bank of Ethiopia,Google Play
yesisgood,5,2026-05-07,Commercial Bank of Ethiopia,Google Play
so good,5,2026-05-07,Commercial Bank of Ethiopia,Google Play
"The app is getting worse and worse after every ""update"". The UI is inconsistent, you haven't fixed the issue with Mpesa wallet transfer ( the ""begin 0, end 1, length 0"" error after ever transfer attempt) ; now the tellbirr transfer raises ""Bucket override O-10094"" error. Test your work FULLY before release.",3,2026-05-07,Commercial Bank of Ethiopia,Google Play
iam happy excellent app,5,2026-05-07,Commercial Bank of Ethiopia,Google Play
is not work properly !!,3,2026-05-06,Commercial Bank of Ethiopia,Google Play
አሪፍ አፕ ነው ገራሚ ሁኖ አግኝቼዋለሁ,5,2026-05-06,Commercial Bank of Ethiopia,Google Play
When I update this app there isn't working,1,2026-05-06,Commercial Bank of Ethiopia,Google Play
thanks you so much 👍 okay I am going to be like in,5,2026-05-05,Commercial Bank of Ethiopia,Google Play
Best ever,1,2026-05-05,Commercial Bank of Ethiopia,Google Play
features በጣም ወድጄዋለሁ ነገር ግን አንድ ችግር አይቼዋለሁ ።APPU DELETE በሆነ ጊዜ ቅርንጫፍ ማመላለሱና MB APPLICATION FORMAT ላይ በየጊዜው መፈረሙ አንድ ለባንኩ ወጪ ነው ሁለት ለደንበኞች Inconvenience ይፈጥራል አስተካክሉ,4,2026-05-05,Commercial Bank of Ethiopia,Google Play
best,5,2026-05-05,Commercial Bank of Ethiopia,Google Play
goood g,5,2026-05-05,Commercial Bank of Ethiopia,Google Play
I like so much,5,2026-05-05,Commercial Bank of Ethiopia,Google Play
This app has never been efficient at all,1,2026-05-04,Commercial Bank of Ethiopia,Google Play
nice app.,5,2026-05-04,Commercial Bank of Ethiopia,Google Play
"While the option to create or cancel standing orders has been added, it is not functional. Similarly, adding a new beneficiary is also not working. Please fix.",2,2026-05-04,Commercial Bank of Ethiopia,Google Play
Wonderful App ❤️❤️❤️ I love it,5,2026-05-04,Commercial Bank of Ethiopia,Google Play
i like it,5,2026-05-04,Commercial Bank of Ethiopia,Google Play
best,4,2026-05-04,Commercial Bank of Ethiopia,Google Play
vary good app,5,2026-05-04,Commercial Bank of Ethiopia,Google Play
good,5,2026-05-04,Commercial Bank of Ethiopia,Google Play
good,5,2026-05-04,Commercial Bank of Ethiopia,Google Play
good,5,2026-05-04,Commercial Bank of Ethiopia,Google Play
nice,5,2026-05-03,Commercial Bank of Ethiopia,Google Play
easy to use but hard to find easily,4,2026-05-03,Commercial Bank of Ethiopia,Google Play
fixed problem,4,2026-05-03,Commercial Bank of Ethiopia,Google Play
በእውነት የሚገርም app ነው ነገሮችን ሁሉ ቀለል ያደርጋል,5,2026-05-03,Commercial Bank of Ethiopia,Google Play
good,5,2026-05-03,Commercial Bank of Ethiopia,Google Play
good,3,2026-05-03,Commercial Bank of Ethiopia,Google Play
best app,5,2026-05-03,Commercial Bank of Ethiopia,Google Play
Good Application,5,2026-05-02,Commercial Bank of Ethiopia,Google Play
Good app,1,2026-05-02,Commercial Bank of Ethiopia,Google Play
