review,rating,date,bank,source
It's not allowing me to transfer money.,2,2026-05-15 12:22:49,Commercial Bank of Ethiopia,Google Play
IT'S NOT WORK ON HUAWEI DEVICES,4,2026-05-15 12:07:21,Commercial Bank of Ethiopia,Google Play
wow,4,2026-05-14 18:52:51,Commercial Bank of Ethiopia,Google Play
nice app,5,2026-05-14 18:28:23,Commercial Bank of Ethiopia,Google Play
formative,5,2026-05-14 16:49:46,Commercial Bank of Ethiopia,Google Play
best app for financial activities 🙌,5,2026-05-14 16:46:29,Commercial Bank of Ethiopia,Google Play
yoroo namaste 🙏 ♥️ ❤️ 💖 💖,5,2026-05-14 12:13:13,Commercial Bank of Ethiopia,Google Play
incredible,5,2026-05-14 10:53:56,Commercial Bank of Ethiopia,Google Play
best app for financial sector,5,2026-05-14 05:44:01,Commercial Bank of Ethiopia,Google Play
it's a good application,5,2026-05-13 20:28:58,Commercial Bank of Ethiopia,Google Play
thank you cbe,5,2026-05-13 17:16:37,Commercial Bank of Ethiopia,Google Play
is good,5,2026-05-13 16:18:45,Commercial Bank of Ethiopia,Google Play
wow,5,2026-05-13 12:19:17,Commercial Bank of Ethiopia,Google Play
Good application,2,2026-05-13 11:27:52,Commercial Bank of Ethiopia,Google Play
"Nice, but I can't get some recently transactions. please try to keep all history scrolling full visibility done.",5,2026-05-13 11:21:48,Commercial Bank of Ethiopia,Google Play
Very Secure but very poor interface and limited history service. The new colorful version is worst. Visibility and contrast are low. It is just my idea.,1,2026-05-13 11:11:25,Commercial Bank of Ethiopia,Google Play
very nice 100%,5,2026-05-13 05:12:17,Commercial Bank of Ethiopia,Google Play
good,5,2026-05-12 19:02:00,Commercial Bank of Ethiopia,Google Play
Good to use,5,2026-05-12 12:23:58,Commercial Bank of Ethiopia,Google Play
cbe,1,2026-05-12 06:18:40,Commercial Bank of Ethiopia,Google Play
Cbe,4,2026-05-11 17:21:59,Commercial Bank of Ethiopia,Google Play
best and secured,5,2026-05-11 11:04:31,Commercial Bank of Ethiopia,Google Play
best,5,2026-05-11 09:22:25,Commercial Bank of Ethiopia,Google Play
ok,5,2026-05-11 00:24:09,Commercial Bank of Ethiopia,Google Play
good,5,2026-05-10 17:46:00,Commercial Bank of Ethiopia,Google Play
why is my transaction fee hidden? Why doesn't the app show some of the transaction fees before. eg vat 15% show it togather before confirmation not after it feels like a scam.,3,2026-05-10 16:13:18,Commercial Bank of Ethiopia,Google Play
Gal✅😶‍🌫️,1,2026-05-10 15:07:21,Commercial Bank of Ethiopia,Google Play
posetive,5,2026-05-10 07:13:20,Commercial Bank of Ethiopia,Google Play
እ. በ. ጥ. ነው,5,2026-05-10 00:40:02,Commercial Bank of Ethiopia,Google Play
good,5,2026-05-09 23:46:18,Commercial Bank of Ethiopia,Google Play
It is usefull app,5,2026-05-09 18:14:32,Commercial Bank of Ethiopia,Google Play
this app is so functional for airtime for wallet and,5,2026-05-09 15:02:46,Commercial Bank of Ethiopia,Google Play
very amazing app,5,2026-05-09 14:05:08,Commercial Bank of Ethiopia,Google Play
excellent service,5,2026-05-09 13:57:37,Commercial Bank of Ethiopia,Google Play
There is a a problem when updating the app,3,2026-05-09 13:19:15,Commercial Bank of Ethiopia,Google Play
good,5,2026-05-09 12:45:44,Commercial Bank of Ethiopia,Google Play
good,5,2026-05-09 09:01:42,Commercial Bank of Ethiopia,Google Play
smart app,4,2026-05-08 21:32:18,Commercial Bank of Ethiopia,Google Play
best,5,2026-05-08 17:48:47,Commercial Bank of Ethiopia,Google Play
"Internet Based mobile app for CBEBirr A Internet Based mobile app for CBEBirr. With the new Internet based CBEBirr Mobile App you can make every operations applicable via the USSD version of CBEBirr. This app version is the latest version branded as CBEBirr Plus, CBEBirr+, CBE Birr +, or CBE Birr plus.",1,2026-05-08 16:19:19,Commercial Bank of Ethiopia,Google Play
CBE it's my excellent choice,5,2026-05-08 15:34:15,Commercial Bank of Ethiopia,Google Play
fast and time saving...,5,2026-05-08 09:10:01,Commercial Bank of Ethiopia,Google Play
ok,5,2026-05-08 00:27:31,Commercial Bank of Ethiopia,Google Play
ok,5,2026-05-07 19:59:44,Commercial Bank of Ethiopia,Google Play
yesisgood,5,2026-05-07 19:48:16,Commercial Bank of Ethiopia,Google Play
so good,5,2026-05-07 11:48:09,Commercial Bank of Ethiopia,Google Play
"The app is getting worse and worse after every ""update"". The UI is inconsistent, you haven't fixed the issue with Mpesa wallet transfer ( the ""begin 0, end 1, length 0"" error after ever transfer attempt) ; now the tellbirr transfer raises ""Bucket override O-10094"" error. Test your work FULLY before release.",3,2026-05-07 07:55:21,Commercial Bank of Ethiopia,Google Play
iam happy excellent app,5,2026-05-07 07:23:40,Commercial Bank of Ethiopia,Google Play
is not work properly !!,3,2026-05-06 18:47:27,Commercial Bank of Ethiopia,Google Play
አሪፍ አፕ ነው ገራሚ ሁኖ አግኝቼዋለሁ,5,2026-05-06 11:51:47,Commercial Bank of Ethiopia,Google Play
When I update this app there isn't working,1,2026-05-06 09:19:52,Commercial Bank of Ethiopia,Google Play
thanks you so much 👍 okay I am going to be like in,5,2026-05-05 21:18:12,Commercial Bank of Ethiopia,Google Play
Best ever,1,2026-05-05 20:56:18,Commercial Bank of Ethiopia,Google Play
features በጣም ወድጄዋለሁ ነገር ግን አንድ ችግር አይቼዋለሁ ።APPU DELETE በሆነ ጊዜ ቅርንጫፍ ማመላለሱና MB APPLICATION FORMAT ላይ በየጊዜው መፈረሙ አንድ ለባንኩ ወጪ ነው ሁለት ለደንበኞች Inconvenience ይፈጥራል አስተካክሉ,4,2026-05-05 16:28:22,Commercial Bank of Ethiopia,Google Play
best,5,2026-05-05 13:41:26,Commercial Bank of Ethiopia,Google Play
goood g,5,2026-05-05 09:39:15,Commercial Bank of Ethiopia,Google Play
I like so much,5,2026-05-05 08:32:34,Commercial Bank of Ethiopia,Google Play
This app has never been efficient at all,1,2026-05-04 19:52:28,Commercial Bank of Ethiopia,Google Play
nice app.,5,2026-05-04 18:32:41,Commercial Bank of Ethiopia,Google Play
"While the option to create or cancel standing orders has been added, it is not functional. Similarly, adding a new beneficiary is also not working. Please fix.",2,2026-05-04 17:57:38,Commercial Bank of Ethiopia,Google Play
Wonderful App ❤️❤️❤️ I love it,5,2026-05-04 14:57:45,Commercial Bank of Ethiopia,Google Play
i like it,5,2026-05-04 14:14:57,Commercial Bank of Ethiopia,Google Play
best,4,2026-05-04 11:54:59,Commercial Bank of Ethiopia,Google Play
vary good app,5,2026-05-04 10:26:13,Commercial Bank of Ethiopia,Google Play
good,5,2026-05-04 09:23:45,Commercial Bank of Ethiopia,Google Play
